Name,Rank,Primary School,Secondary School,Health,Balance Block,Death Block,Fire Block,Ice Block,Life Block,Myth Block,Shadow Block,Storm Block
Andor Bristleback,8,Storm,,3360,0,0,0,0,0,0,0,0
Angler Goon,9,Fire,,790,0,0,0,0,0,0,0,0
Angler Ruffian,9,Death,,1115,0,0,0,0,0,0,0,0
Angler Thug,2,Myth,,315,0,0,0,0,0,0,0,0
Angler Warlord,10,Balance,,4890,18,18,18,18,18,18,18,18
Angrus Hollowsoul,8,Fire,,4800,0,0,0,0,0,0,0,0
Angry Gnome,17,Myth,,3490,104,104,104,104,104,104,104,104
Angry Gnome,17,Balance,,3710,115,115,115,115,115,115,115,115
Angryler,1,Myth,,285,0,0,0,0,0,0,0,0
Anguished Woodman,12,Fire,,2640,57,57,57,57,57,57,57,57
Anguished Wraith,14,Ice,,5440,57,57,57,57,57,57,57,57
Anguished Wraith,7,Death,,710,0,0,0,0,0,0,0,0
Animated Lava,6,Fire,,785,0,0,0,0,0,0,0,0
Annie Maul,5,Life,,1780,237,237,237,237,237,237,237,237
Ant Griffin,13,Fire,,14545,57,57,57,57,57,57,57,57
Ant Lion,13,Ice,,15595,57,57,57,57,57,57,57,57
Ant Lion Trapper,13,Death,,3670,18,18,18,18,18,18,18,18
Ant Lion Trapper,13,Death,,14845,57,57,57,57,57,57,57,57
Apep the Snaky One,11,Balance,,6920,57,57,57,57,57,57,57,57
Aphrodite Two Vine,13,Myth,,22400,38,38,38,38,38,38,38,38
Apollo Bright One,7,Life,,3360,0,0,0,0,0,0,0,0
Apollo Bright One,14,Life,,19200,38,38,38,38,38,38,38,38
Apple Brudel,17,Fire,,3380,94,94,94,94,94,94,94,94
Apple Brudel,17,Balance,,3825,119,119,119,119,119,119,119,119
Aqua-Bot,9,Fire,,790,0,0,0,0,0,0,0,0
Ar'Sohn,4,Fire,,1550,0,0,0,0,0,0,0,0
Arachna Agent,15,Storm,,3050,38,38,38,38,38,38,38,38
Arachna Gladiator,14,Death,,3810,18,18,18,18,18,18,18,18
Arachna Magna Magus,17,Storm,,8480,131,131,131,131,131,131,131,131
Arachna Skinner,14,Fire,,3800,18,18,18,18,18,18,18,18
Arachna Soldier,16,Balance,,4060,158,158,158,158,158,158,158,158
Arachna Soldier,17,Fire,,3025,84,84,84,84,84,84,84,84
Arachna Soldier,17,Shadow,,3250,101,101,101,101,101,101,101,101
Arachna Soldier,17,Ice,,3785,134,134,134,134,134,134,134,134
Arachna Soldier,17,Death,,3250,101,101,101,101,101,101,101,101
Arachna Soldier,17,Storm,,2720,78,78,78,78,78,78,78,78
Arachnite Creeper,11,Life,,2260,0,0,0,0,0,0,0,0
Arachtus Duskweb,10,Death,,4320,18,18,18,18,18,18,18,18
Arbenbrand Frostarrow,1,Ice,Sun,400,0,0,0,0,0,0,0,0
Arbenbrand Frostarrow,1,Ice,Sun,400,0,0,0,0,0,0,0,0
Arbenbrand Frostarrow,1,Ice,Sun,400,0,0,0,0,0,0,0,0
Arbenbrand Frostarrow,1,Ice,Sun,400,0,0,0,0,0,0,0,0
Arbenbrand Frostarrow,1,Ice,Sun,400,0,0,0,0,0,0,0,0
Archera DeathsHead,14,Fire,,18115,57,57,57,57,57,57,57,57
Archera DeathsHead,14,Fire,,22646,57,57,57,57,57,57,57,57
Archibald Ratfink,1,Myth,Sun,325,0,0,0,0,0,0,0,0
Archibald Ratfink,8,Myth,Sun,325,0,0,0,0,0,0,0,0
Archibald Ratfink,8,Myth,Sun,325,0,0,0,0,0,0,0,0
Archibald Ratfink,8,Myth,Sun,325,0,0,0,0,0,0,0,0
Archibald Ratfink,8,Myth,Sun,325,0,0,0,0,0,0,0,0
Architect Antheemius,15,Fire,,9520,77,77,77,77,77,77,77,77
Archmagus Lorcan,14,Balance,,17665,57,57,57,57,57,57,57,57
Archmagus Lorcan,14,Balance,,17665,57,57,57,57,57,57,57,57
Arctic Angler,1,Ice,,375,0,0,0,0,0,0,0,0
Ares Savage Spear,7,Fire,,3600,0,0,0,0,0,0,0,0
Ares Savage Spear,14,Fire,,18800,38,38,38,38,38,38,38,38
Argent Clatterer,7,Life,,1010,0,0,0,0,0,0,0,0
Aria GreenThorn,1,Life,Sun,350,0,0,0,0,0,0,0,0
Aria GreenThorn,1,Life,Sun,350,0,0,0,0,0,0,0,0
Aria GreenThorn,1,Life,Sun,350,0,0,0,0,0,0,0,0
Aria GreenThorn,1,Life,Sun,350,0,0,0,0,0,0,0,0
Aria GreenThorn,1,Life,Sun,350,0,0,0,0,0,0,0,0
Arion Spiny Stallion,11,Life,,9880,38,38,38,38,38,38,38,38
Ark of Antipathy,15,Balance,,10920,77,77,77,77,77,77,77,77
Arkyn Moonblade,13,Myth,,4160,18,18,18,18,18,18,18,18
Armada Marine,10,Balance,,1455,0,0,0,0,0,0,0,0
Armed Guard,15,Death,,3700,120,120,120,120,120,120,120,120
Armored Bonewalker,7,Ice,,760,0,0,0,0,0,0,0,0
Arnet Galestrom,9,Storm,,1745,18,18,18,18,18,18,18,18
Ash Spider,7,Life,,685,0,0,0,0,0,0,0,0
Ashen Death Monkey Spider,16,Death,Balance,3440,158,158,158,158,158,158,158,158
Ashen Man Eater,14,Death,,2730,18,18,18,18,18,18,18,18
Ashikata,6,Fire,,1120,0,0,0,0,0,0,0,0
Asrik Widebelt,9,Myth,,2990,0,0,0,0,0,0,0,0
Assistant Sigh-Amm,15,Life,,3940,86,86,86,86,86,86,86,86
Assistant Warden Porfiry,15,Balance,,12400,57,57,57,57,57,57,57,57
Asterion Lorehorn,1,Myth,Sun,425,0,0,0,0,0,0,0,0
Asterion Lorehorn,1,Myth,Sun,425,0,0,0,0,0,0,0,0
Asterion Lorehorn,1,Myth,Sun,425,0,0,0,0,0,0,0,0
Asterion Lorehorn,1,Myth,Sun,425,0,0,0,0,0,0,0,0
Asterion Lorehorn,1,Myth,Sun,425,0,0,0,0,0,0,0,0
Astraeus,11,Star,,5185,18,18,18,18,18,18,18,18
Ata Karanahn,4,Fire,,1600,0,0,0,0,0,0,0,0
Athena,14,Life,,650,0,0,0,0,0,0,0,0
Ati Karanahn,13,Fire,,3150,15,15,15,15,15,15,15,15
Ati Karanahn,15,Fire,,4300,119,119,119,119,119,119,119,119
Ati Karanahn,6,Fire,,700,0,0,0,0,0,0,0,0
Ati Karanahn,8,Fire,,945,0,0,0,0,0,0,0,0
Ati Karanahn,10,Fire,,2025,9,9,9,9,9,9,9,9
Atlach-Leng,13,Ice,,18920,57,57,57,57,57,57,57,57
Atlantean Trierarch,11,Ice,,2240,0,0,0,0,0,0,0,0
Atsu Karanahn,4,Fire,,1600,0,0,0,0,0,0,0,0
Attack Sea Lion,14,Storm,,2180,38,38,38,38,38,38,38,38
August Rainforge,4,Storm,,700,0,0,0,0,0,0,0,0
August Sleetsword,4,Ice,,900,0,0,0,0,0,0,0,0
Augustus,18,Death,,4400,158,158,158,158,158,158,158,158
Aunt Eunice,7,Life,,3025,0,0,0,0,0,0,0,0
Aunt Millicent,7,Ice,,3190,0,0,0,0,0,0,0,0
Aurekk the Mighty,10,Ice,,6070,18,18,18,18,18,18,18,18
Austri,10,Ice,,2110,0,0,0,0,0,0,0,0
Avalanche,8,Life,,2960,0,0,0,0,0,0,0,0
Avarik SavageCry,13,Ice,,17760,57,57,57,57,57,57,57,57
Awilix Nightwing,11,Life,,2800,57,57,57,57,57,57,57,57
Axantho Crab,13,Fire,,2320,18,18,18,18,18,18,18,18
Axenos,9,Balance,,3260,0,0,0,0,0,0,0,0
Axos Ghostmane,12,Ice,,5200,38,38,38,38,38,38,38,38
Azcal Fire Ant,12,Fire,,11960,57,57,57,57,57,57,57,57
B'rel,16,Storm,,12000,97,97,97,97,97,97,97,97
B-Bug,17,Fire,Storm,4095,119,119,119,119,119,119,119,119
Baane,16,Ice,,13600,98,98,98,98,98,98,98,98
Baba Yaga,15,Myth,,22800,116,116,116,116,116,116,116,116
Babbling Meints,16,Balance,,10080,77,77,77,77,77,77,77,77
Babe the Not-Blue Ox,16,Balance,Myth,3825,158,158,158,158,158,158,158,158
Baboon Bandit,1,Death,,350,0,0,0,0,0,0,0,0
Baboon Goon,2,Death,,375,0,0,0,0,0,0,0,0
Baboon Guerilla,1,Death,,325,0,0,0,0,0,0,0,0
Baby Carrot,17,Life,,6075,237,237,237,237,237,237,237,237
Baby Drake,1,Fire,,450,0,0,0,0,0,0,0,0
Bacab Skycarrier,12,Storm,,15640,57,57,57,57,57,57,57,57
Backdraft,1,Fire,,50,0,0,0,0,0,0,0,0
Bacuda Commander,15,Storm,,2840,57,57,57,57,57,57,57,57
Bacuda Sentinel,15,Myth,,2110,38,38,38,38,38,38,38,38
Bael Emberlight,8,Storm,,3840,0,0,0,0,0,0,0,0
Balance Aspect,17,Balance,,4210,148,148,148,148,148,148,148,148
Balance Cybermander,15,Balance,,8855,83,83,83,83,83,83,83,83
Balance Cybermander,17,Balance,,12090,198,198,198,198,198,198,198,198
Balance Cybermander,8,Balance,,1960,0,0,0,0,0,0,0,0
Balance Cybermander,10,Balance,,2655,0,0,0,0,0,0,0,0
Balance Cybermander,12,Balance,,5690,34,34,34,34,34,34,34,34
Balance Spriggan,14,Balance,,2700,18,18,18,18,18,18,18,18
Balance Tentacular Horror,17,Balance,,6650,119,119,119,119,119,119,119,119
Balarr Deathgaze,1,Death,Sun,550,0,0,0,0,0,0,0,0
Balarr Deathgaze,1,Death,Sun,550,0,0,0,0,0,0,0,0
Balarr Deathgaze,1,Death,Sun,550,0,0,0,0,0,0,0,0
Balarr Deathgaze,1,Death,Sun,550,0,0,0,0,0,0,0,0
Balarr Deathgaze,1,Death,Sun,550,0,0,0,0,0,0,0,0
Baleful Empress,13,Storm,,18000,38,38,38,38,38,38,38,38
Balkhi,15,Balance,,4400,97,97,97,97,97,97,97,97
Balor Scourge,9,Death,,1850,57,57,57,57,57,57,57,57
Balor the Broken Fang,13,Storm,,15545,57,57,57,57,57,57,57,57
Balor the Broken Fang,14,Storm,,19770,77,77,77,77,77,77,77,77
Balor's Behemoth,13,Death,,3835,18,18,18,18,18,18,18,18
Banded Hornet,12,Myth,,3360,18,18,18,18,18,18,18,18
Bane Wyrm,11,Death,,9830,38,38,38,38,38,38,38,38
Baneful Blazer,14,Fire,,4815,18,18,18,18,18,18,18,18
Barbarian Spirit,8,Myth,,845,0,0,0,0,0,0,0,0
Barbarian White Fur,14,Life,,3940,18,18,18,18,18,18,18,18
Barbarous Van Der Borst,2,Myth,,840,0,0,0,0,0,0,0,0
Barbarous Van Der Borst,3,Myth,,1640,0,0,0,0,0,0,0,0
Barbarous Van Der Borst,5,Myth,,2035,0,0,0,0,0,0,0,0
Barbarous Van Der Borst,11,Myth,,6120,18,18,18,18,18,18,18,18
Barbarous Van Der Borst,12,Myth,,8035,57,57,57,57,57,57,57,57
Barbata,15,Fire,,3840,97,97,97,97,97,97,97,97
Bark Knight,4,Death,,1170,198,198,198,198,198,198,198,198
Barkskin Treant,5,Life,,725,0,0,0,0,0,0,0,0
Barkskin Treant,5,Life,,725,0,0,0,0,0,0,0,0
Baron Greebly,3,Life,,550,0,0,0,0,0,0,0,0
Baron Hairkonnen,16,Myth,,9,97,97,97,97,97,97,97,97
Baron Mordecai,4,Death,,1600,0,0,0,0,0,0,0,0
Baron Rotunda,3,Ice,,550,0,0,0,0,0,0,0,0
Baron's Bodyguard,15,Life,,3860,86,86,86,86,86,86,86,86
Barracks Guardian,15,Death,,3700,97,97,97,97,97,97,97,97
Basement Troll,3,Myth,,650,107,107,107,107,107,107,107,107
Bastilla Gravewynd,3,Death,,440,0,0,0,0,0,0,0,0
Bat Bot,15,Storm,,3620,77,77,77,77,77,77,77,77
Bat Bot,15,Ice,,4665,97,97,97,97,97,97,97,97
BatBot Tank,16,Ice,,4180,198,198,198,198,198,198,198,198
Battle Mage,12,Storm,,2950,18,18,18,18,18,18,18,18
Battlebull,4,Myth,,960,127,127,127,127,127,127,127,127
Battling Jackie,12,Ice,,10720,57,57,57,57,57,57,57,57
Beach Mantis (Driftwood Branch),13,Myth,,2310,18,18,18,18,18,18,18,18
Beach Yellow Jacket,13,Myth,,2920,18,18,18,18,18,18,18,18
Beak Breaker,13,Fire,,3040,18,18,18,18,18,18,18,18
Beaming Flame Elf,5,Fire,,1610,139,139,139,139,139,139,139,139
Beans,16,Life,,9360,300,300,300,300,300,300,300,300
Beastman,15,Ice,,2945,97,97,97,97,97,97,97,97
Beastman,15,Storm,,2350,57,57,57,57,57,57,57,57
Beastman Double Visionary,6,Myth,,4170,147,147,147,147,147,147,147,147
Beastman Guard,15,Ice,,2880,97,97,97,97,97,97,97,97
Beastman Guard,15,Ice,,2940,97,97,97,97,97,97,97,97
Beastman Guard,15,Storm,,2630,57,57,57,57,57,57,57,57
Beastman Guard,15,Storm,,2415,57,57,57,57,57,57,57,57
Beatrice Wildwind,14,Storm,,650,0,0,0,0,0,0,0,0
Beatrice Wildwind,5,Storm,,495,0,0,0,0,0,0,0,0
Beets,12,Shadow,,5820,120,120,120,120,120,120,120,120
Befouled Woodwalker,6,Life,,760,0,0,0,0,0,0,0,0
Beghastion Crowcaller,7,Death,,685,0,0,0,0,0,0,0,0
Beghastion Fieldburner,7,Fire,,810,0,0,0,0,0,0,0,0
Belloq,13,Balance,,18670,77,77,77,77,77,77,77,77
Belloq,12,Balance,,13070,57,57,57,57,57,57,57,57
Belloq,10,Balance,,5070,18,18,18,18,18,18,18,18
Belloq Image,16,Fire,,5680,99,99,99,99,99,99,99,99
Belloq Image,16,Ice,,7120,158,158,158,158,158,158,158,158
Belloq Image,16,Myth,,5760,107,107,107,107,107,107,107,107
Belloq Image,16,Storm,,5120,92,92,92,92,92,92,92,92
Bellosh,10,Balance,,6530,57,57,57,57,57,57,57,57
Bellows,6,Storm,,1600,0,0,0,0,0,0,0,0
Belosto ToeBiter,13,Ice,,20520,57,57,57,57,57,57,57,57
Benighted Revenant,4,Death,,620,0,0,0,0,0,0,0,0
Bentley Daysong,1,Fire,,500,20,20,138,20,135,20,20,20
Bentley Daysong ,13,Fire,,19305,112,57,175,57,172,57,57,57
Berkshire StickHouse,2,Balance,,650,0,0,0,0,0,0,0,0
Berkshire StickHouse,3,Balance,,665,0,0,0,0,0,0,0,0
Berkshire StickHouse,5,Balance,,795,0,0,0,0,0,0,0,0
Berkshire StickHouse,11,Balance,,2915,18,18,18,18,18,18,18,18
Berkshire StickHouse,12,Balance,,3385,18,18,18,18,18,18,18,18
Beulah,15,Balance,,6325,78,78,78,78,78,78,78,78
Bevo Emberhoof,1,Fire,Sun,425,0,0,0,0,0,0,0,0
Bevo Emberhoof,7,Fire,Sun,425,0,0,0,0,0,0,0,0
Bevo Emberhoof,7,Fire,Sun,425,0,0,0,0,0,0,0,0
Bevo Emberhoof,7,Fire,Sun,425,0,0,0,0,0,0,0,0
Bevo Emberhoof,7,Fire,Sun,425,0,0,0,0,0,0,0,0
Big Bad Wolf,16,Balance,,3825,198,198,198,198,198,198,198,198
Big Salgio,10,Fire,,3080,18,18,18,18,18,18,18,18
Billy the Cutter,7,Fire,,4860,0,0,0,0,0,0,0,0
Billy the Gruff Goat,16,Myth,,3530,127,127,127,127,127,127,127,127
Billy's Butcher,5,Ice,,1620,0,0,0,0,0,0,0,0
Binny Jezzerit,14,Myth,,2000,97,97,97,97,97,97,97,97
Biti Nirini,3,Fire,,510,0,0,0,0,0,0,0,0
Black Annie,12,Storm,,11400,57,57,57,57,57,57,57,57
Black Baroness,13,Balance,,2,0,0,0,0,0,0,0,0
Black Baroness,13,Balance,,17515,57,57,57,57,57,57,57,57
Black Cap,11,Storm,,1740,0,0,0,0,0,0,0,0
Black Dragon,12,Myth,,10000,57,57,57,57,57,57,57,57
Black Knight,12,Fire,,10560,57,57,57,57,57,57,57,57
Black Licorice Goat,18,Death,,4400,158,158,158,158,158,158,158,158
Black Shield,13,Balance,,3560,18,18,18,18,18,18,18,18
Black Sun Priestess,14,Death,,2720,18,18,18,18,18,18,18,18
Black Tusk Cultist,10,Death,,1530,0,0,0,0,0,0,0,0
Black Widow,5,Life,,1200,0,0,0,0,0,0,0,0
Blackback MistWitch,14,Storm,,2675,18,18,18,18,18,18,18,18
Blackback Soldier,11,Life,,2440,0,0,0,0,0,0,0,0
Blackback Thrall,13,Storm,,3280,18,18,18,18,18,18,18,18
Blackblade,7,Balance,,2400,0,0,0,0,0,0,0,0
Blackrock Guardian,8,Balance,,890,0,0,0,0,0,0,0,0
Blackrock Guardian,8,Balance,,890,0,0,0,0,0,0,0,0
Blacktusk Shaman,14,Death,,4565,18,18,18,18,18,18,18,18
Blade Golem,4,Storm,,525,0,0,0,0,0,0,0,0
Bladeless Ronin,6,Balance,,2225,0,0,0,0,0,0,0,0
Blain Seastrider,6,Storm,,1400,0,0,0,0,0,0,0,0
Blair,18,Ice,,4865,188,188,188,188,188,188,188,188
Blazing Hart,14,Fire,,18145,57,57,57,57,57,57,57,57
Bleirg,9,Ice,,2075,116,116,116,116,116,116,116,116
Blerg,13,Myth,,3500,77,77,77,77,77,77,77,77
Bleys Flamerender,5,Fire,,565,0,0,0,0,0,0,0,0
Blight Walker,16,Death,,3460,119,119,119,119,119,119,119,119
Blighted Freerooter,8,Life,,890,0,0,0,0,0,0,0,0
Blighted Yaxche,13,Myth,,17800,77,77,77,77,77,77,77,77
Blizzard Dragon,5,Ice,,1410,237,237,237,237,237,237,237,237
Blizzard Elemental,14,Ice,,2255,18,18,18,18,18,18,18,18
Blizzard Troll,1,Ice,,300,0,0,0,0,0,0,0,0
Blizzard Troll,9,Ice,,4100,0,0,0,0,0,0,0,0
Blood Bat,3,Myth,,400,0,0,0,0,0,0,0,0
Blood Bat,3,Myth,,400,0,0,0,0,0,0,0,0
Blood Hornet,13,Life,,3695,18,18,18,18,18,18,18,18
Bloodseeker,4,Myth,,725,0,0,0,0,0,0,0,0
Bloodseeker,4,Myth,,725,0,0,0,0,0,0,0,0
Bloodwing,10,Fire,,875,0,0,0,0,0,0,0,0
Blue Agnes,13,Ice,,14600,77,77,77,77,77,77,77,77
Blue Bart,10,Life,,5135,18,18,18,18,18,18,18,18
Blue Ninja Pig,17,Ice,Shadow,5115,198,198,198,198,198,198,198,198
Blue Ox,16,Myth,,3070,104,104,104,104,104,104,104,104
Blue Radberry Bear,17,Ice,,4095,145,145,145,145,145,145,145,145
Blue Razor,13,Ice,,2910,18,18,18,18,18,18,18,18
Bluto,14,Ice,,5600,118,118,118,118,118,118,118,118
Boa Constructor,15,Life,,2435,86,86,86,86,86,86,86,86
Boa Destructor,6,Balance,,3130,198,198,198,198,198,198,198,198
Boa Fett,16,Fire,Ice,8400,40,40,40,40,40,40,40,40
Boa Jaqs'on,3,Myth,,1700,0,0,0,0,0,0,0,0
Boa Restrictor,15,Storm,,3220,57,57,57,57,57,57,57,57
Boatswain McGee,11,Life,,1920,0,0,0,0,0,0,0,0
Body Bowl,4,Storm,,1000,0,0,0,0,0,0,0,0
Body Guard,15,Storm,,3220,57,57,57,57,57,57,57,57
Bog Stalker,3,Life,,550,158,158,158,158,158,158,158,158
Bog Witch,12,Myth,,11920,57,57,57,57,57,57,57,57
Boiled Crab,3,Fire,,675,0,0,0,0,0,0,0,0
Bolu Bigfist,11,Storm,,4435,38,38,38,38,38,38,38,38
Bone Digger,6,Fire,,840,0,0,0,0,0,0,0,0
Bone Warrior,7,Balance,,685,0,0,0,0,0,0,0,0
Bonfire Giant,6,Fire,,2160,139,139,139,139,139,139,139,139
Boogie-Bogey Man,19,Death,,11220,202,202,202,202,202,202,202,202
Book of Bias,15,Myth,,3500,116,116,116,116,116,116,116,116
Bookminder,18,Balance,,4400,158,158,158,158,158,158,158,158
Bookworm Jimm,15,Death,,10155,107,107,107,107,107,107,107,107
Borasco,8,Storm,,2000,0,0,0,0,0,0,0,0
Borealis Golem,15,Ice,,3920,38,38,38,38,38,38,38,38
Boris Blackrock,8,Ice,,5600,0,0,0,0,0,0,0,0
Boris the Boarder,15,Fire,,9860,57,57,57,57,57,57,57,57
